Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
GitHub,https://github.com,"Source control and collaboration platform for code, issues, and CI/CD.",Free; Team from ~$4/user/mo,https://github.com/pricing,https://github.com/solutions/partners,Partner ecosystem; public affiliate program not typical
GitHub Copilot,https://github.com/features/copilot,AI coding assistant inside GitHub and popular IDEs.,From ~$10/user/mo,https://github.com/features/copilot/plans,https://github.com/solutions/partners,GitHub partner ecosystem
Cursor,https://cursor.com,"AI code editor built for pair-programming, refactors, and agentic coding.",Free; Pro from ~$20/mo,https://cursor.com/pricing,N/A / public affiliate program not confirmed,Pricing
Replit,https://replit.com,Browser-based development environment with hosting and AI coding tools.,Free; Core from ~$20/mo,https://replit.com/pricing,https://replit.com/affiliates,Public affiliate/referral program
CodeSandbox,https://codesandbox.io,Online development environment for frontend and full-stack work.,Free; Pro from ~$15/mo,https://codesandbox.io/pricing,N/A / public affiliate program not confirmed,Pricing
StackBlitz,https://stackblitz.com,Fast in-browser coding environment and WebContainer-based dev experience.,Free; Pro from ~$20/mo,https://stackblitz.com/pricing,N/A / public affiliate program not confirmed,Pricing
Supabase,https://supabase.com,"Open-source Firebase alternative for database, auth, storage, and edge functions.",Free; Pro from ~$25/mo,https://supabase.com/pricing,N/A / partner program not confirmed,Pricing
Postman,https://www.postman.com,"API development, testing, and collaboration platform.",Free; paid from ~$14/user/mo,https://www.postman.com/pricing/,N/A / public affiliate program not confirmed,Pricing
JetBrains,https://www.jetbrains.com,Professional IDE suite for serious software development.,From ~$16.90/mo equivalent,https://www.jetbrains.com/store/,N/A / public affiliate program not confirmed,Pricing
Windsurf,https://windsurf.com,AI-first code editor and coding agent workflow from Codeium.,Free; paid from ~$15/mo,https://windsurf.com/pricing,N/A / public affiliate program not confirmed,Pricing
