Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Zapier,https://zapier.com,No-code automation platform with thousands of integrations.,Free; Starter from ~$19.99/mo,https://zapier.com/pricing,https://zapier.com/partner-program,Public affiliate/partner program
Make,https://www.make.com,Visual automation platform with flexible scenarios and integrations.,Free; Core from ~$9/mo,https://www.make.com/en/pricing,https://www.make.com/en/partners,Partner ecosystem
n8n,https://n8n.io,Workflow automation platform with self-hosting and cloud options.,Free self-hosted; cloud from ~$20/mo,https://n8n.io/pricing/,https://n8n.io/partners/,Partner ecosystem
Pipedream,https://pipedream.com,"Developer automation platform for APIs, workflows, and cron jobs.",Free; Developer from ~$19/mo,https://pipedream.com/pricing,https://pipedream.com/partners/,Partner ecosystem
IFTTT,https://ifttt.com,Simple consumer automation with applets and device integrations.,Free; Pro from ~$2.50/mo,https://ifttt.com/plans,https://ifttt.com/affiliate,Public affiliate program
Bardeen,https://www.bardeen.ai,Browser and workflow automation with AI helpers.,Free; paid from ~$20/mo,https://www.bardeen.ai/pricing,N/A / public affiliate program not confirmed,Pricing
Airtable,https://www.airtable.com,Database-style app with built-in automations and workflows.,Free; Team from ~$20/user/mo,https://www.airtable.com/pricing,https://www.airtable.com/partners,Partner ecosystem
Monday.com,https://monday.com,Work management platform with automations across boards.,Free; Basic from ~$9/seat/mo,https://monday.com/pricing,https://monday.com/partners/,Partner ecosystem
Parabola,https://parabola.io,Automation platform for operational data workflows.,Free; starter from ~$80/mo,https://parabola.io/pricing,N/A / public affiliate program not confirmed,Pricing
Workato,https://www.workato.com,Enterprise-grade integration and automation platform.,Quote-based,https://www.workato.com/pricing,https://www.workato.com/partners,Partner ecosystem
