Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Google Analytics,https://analytics.google.com,Free website analytics standard for traffic and conversion measurement.,Free,https://marketingplatform.google.com/about/analytics/,N/A / no public affiliate program,Free tool
PostHog,https://posthog.com,"Product analytics, feature flags, session replay, and experiments.",Free; paid usage-based,https://posthog.com/pricing,N/A / public affiliate program not confirmed,Pricing
Mixpanel,https://mixpanel.com,Event-based product analytics with funnels and retention reporting.,Free; Growth from usage-based pricing,https://mixpanel.com/pricing/,N/A / public affiliate program not confirmed,Pricing
Amplitude,https://amplitude.com,Product analytics and experimentation platform.,Free; paid from usage-based plans,https://amplitude.com/pricing,N/A / public affiliate program not confirmed,Pricing
Plausible,https://plausible.io,Lightweight privacy-friendly website analytics.,From ~$9/mo,https://plausible.io/pricing,https://plausible.io/affiliates,Public affiliate program
Fathom Analytics,https://usefathom.com,"Simple, privacy-focused website analytics for small teams.",From ~$15/mo,https://usefathom.com/pricing,https://usefathom.com/affiliates,Public affiliate program
Hotjar,https://www.hotjar.com,"Heatmaps, recordings, surveys, and feedback collection.",Free; paid from ~$39/mo,https://www.hotjar.com/pricing/,N/A / public affiliate program not confirmed,Pricing
Microsoft Clarity,https://clarity.microsoft.com,Free session replay and heatmaps from Microsoft.,Free,https://clarity.microsoft.com,N/A / no public affiliate program,Free tool
Simple Analytics,https://simpleanalytics.com,Privacy-first analytics with a simple reporting experience.,From ~$15/mo,https://simpleanalytics.com/pricing,https://simpleanalytics.com/affiliates,Public affiliate program
Clicky,https://clicky.com,Simple real-time web analytics platform.,From ~$10/mo,https://clicky.com/pricing,N/A / public affiliate program not confirmed,Pricing
