Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
OpenAI,https://openai.com,"General-purpose AI for chat, coding, multimodal generation, and agents via ChatGPT and API.",Free; usage-based API pricing starts with GPT-5.4 mini at $0.75 / 1M input tokens,https://openai.com/api/pricing/,N/A,No public affiliate program found
Anthropic,https://claude.com,"Claude is Anthropic's AI assistant for writing, research, reasoning, and coding.",Free; Pro from $20/mo,https://claude.com/pricing,N/A,No public affiliate program found
ElevenLabs,https://elevenlabs.io,"Voice AI platform for text-to-speech, cloning, dubbing, and audio generation.",Free; Starter $6/mo,https://elevenlabs.io/pricing,N/A,No public affiliate program found
Jasper,https://www.jasper.ai,Marketing AI platform built for brand-safe content creation and campaign workflows.,Pro $69/seat/mo,https://www.jasper.ai/pricing,N/A,No public affiliate program found
Copy.ai,https://www.copy.ai,"GTM AI platform for marketing, sales, and workflow automation.",Chat $29/mo billed monthly,https://www.copy.ai/prices,N/A,No public affiliate program found
Writesonic,https://writesonic.com,"AI visibility and content platform for SEO, GEO, and AI search monitoring.",Starter $79/mo billed annually,https://writesonic.com/pricing,https://writesonic.com/affiliate,Public affiliate program available
Grammarly,https://www.grammarly.com,"Writing assistant with grammar, tone, rewrites, and AI composition tools.",Free; Pro $12/mo,https://www.grammarly.com/plans,https://www.grammarly.com/affiliates,Public affiliate program available
Notion,https://www.notion.com,"Workspace platform with docs, databases, AI agents, and meeting notes.",Free; Plus €9.50/seat/mo,https://www.notion.com/pricing,https://www.notion.com/affiliates,Public affiliate program available
Descript,https://www.descript.com,AI-powered audio/video editing workspace with transcription and text-based editing.,Free; Creator $24/mo per person/month,https://www.descript.com/pricing,N/A,No public affiliate page found
Synthesia,https://www.synthesia.io,"AI video generator for creating training, demo, and marketing videos with avatars.",Starter $29/mo,https://www.synthesia.io/pricing,N/A,No public affiliate page found
