Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Ahrefs,https://ahrefs.com,"SEO research suite for keywords, backlinks, audits, and rank tracking.",From ~$129/mo,https://ahrefs.com/pricing,https://ahrefs.com/affiliates,Public affiliate program
Semrush,https://www.semrush.com,All-in-one SEO and competitive research platform.,From ~$139.95/mo,https://www.semrush.com/pricing/,https://www.semrush.com/partner-program/affiliate/,Public affiliate program
Moz,https://moz.com,"SEO toolset with keyword research, site audits, and link tracking.",From ~$49/mo,https://moz.com/products/pro/pricing,https://moz.com/partners/affiliate,Public affiliate program
Surfer,https://surferseo.com,"Content optimization platform for SEO briefs, audits, and on-page guidance.",From ~$79/mo,https://surferseo.com/pricing/,https://surferseo.com/affiliate-program/,Public affiliate program
SE Ranking,https://seranking.com,"Affordable SEO platform for rank tracking, audits, and keyword research.",From ~$52/mo,https://seranking.com/pricing.html,https://seranking.com/affiliate-program.html,Public affiliate program
Mangools,https://mangools.com,Beginner-friendly SEO suite with KWFinder and rank tracking.,From ~$49/mo,https://mangools.com/pricing,https://mangools.com/affiliate,Public affiliate program
Screaming Frog,https://www.screamingfrog.co.uk/seo-spider/,Technical SEO crawler for audits and site analysis.,Free; paid from ~$279/year,https://www.screamingfrog.co.uk/seo-spider/pricing/,N/A / public affiliate program not confirmed,Pricing
Ubersuggest,https://neilpatel.com/ubersuggest/,Keyword and site research tool with a simple UI.,From ~$29/mo,https://neilpatel.com/pricing/,N/A / public affiliate program not confirmed,Pricing
Rank Math,https://rankmath.com,"WordPress SEO plugin with content, schema, and technical SEO features.",Free; Pro from ~$6.99/mo annualized,https://rankmath.com/pricing/,https://rankmath.com/affiliate-program/,Public affiliate program
Keywords Everywhere,https://keywordseverywhere.com,Keyword research add-on with pay-as-you-go credits.,Free extension; paid credits from low monthly equivalent,https://keywordseverywhere.com/pricing.html,N/A / public affiliate program not confirmed,Pricing
