Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Brevo,https://www.brevo.com,"Email, CRM, SMS, and automation platform with a generous free tier.",Free; paid from ~$9/mo,https://www.brevo.com/pricing/,https://www.brevo.com/partners/affiliate/,Public affiliate program
Mailchimp,https://mailchimp.com,Popular email marketing platform for newsletters and automation.,Free; Essentials from ~$13/mo,https://mailchimp.com/pricing/,N/A / public affiliate program not confirmed,Pricing
MailerLite,https://www.mailerlite.com,Creator-friendly email marketing platform with forms and automations.,Free; Growing Business from ~$10/mo,https://www.mailerlite.com/pricing,https://www.mailerlite.com/affiliate,Public affiliate program
ConvertKit,https://convertkit.com,Email marketing and creator business platform.,Free; Creator from ~$25/mo,https://convertkit.com/pricing,https://convertkit.com/affiliates,Public affiliate program
Klaviyo,https://www.klaviyo.com,Lifecycle email and SMS platform for ecommerce brands.,Free; paid from ~$20/mo,https://www.klaviyo.com/pricing,N/A / public affiliate program not confirmed,Pricing
Omnisend,https://www.omnisend.com,Email and SMS marketing for ecommerce teams.,Free; Standard from ~$16/mo,https://www.omnisend.com/pricing/,https://www.omnisend.com/partners/affiliates,Public affiliate program
SendGrid,https://sendgrid.com,Transactional and marketing email API from Twilio.,Free; Essentials from ~$19.95/mo,https://sendgrid.com/pricing/,N/A / partner ecosystem instead,Pricing
Mailgun,https://www.mailgun.com,Transactional email API and deliverability tooling.,Free; Foundation from ~$15/mo,https://www.mailgun.com/pricing/,https://www.mailgun.com/partners/,Partner ecosystem
Resend,https://resend.com,Developer-friendly transactional email API.,Free; paid from ~$20/mo,https://resend.com/pricing,N/A / public affiliate program not confirmed,Pricing
Campaign Monitor,https://www.campaignmonitor.com,Email campaign and automation tool for marketing teams.,From ~$12/mo,https://www.campaignmonitor.com/pricing/,N/A / public affiliate program not confirmed,Pricing
