Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Cloudflare,https://www.cloudflare.com,"Security, DNS, zero trust, and edge protection platform.",Free; Pro from ~$20/mo,https://www.cloudflare.com/plans/,N/A / partner ecosystem,Pricing
1Password,https://1password.com,Password manager and secrets security for individuals and teams.,From ~$2.99/mo,https://1password.com/pricing/,https://1password.com/partners/affiliates/,Public affiliate program
Clerk,https://clerk.com,Authentication and user management platform for modern apps.,Free; Pro from ~$25/mo,https://clerk.com/pricing,N/A / public affiliate program not confirmed,Pricing
Snyk,https://snyk.io,"Developer security platform for code, dependencies, and containers.",Free; Team from ~$25/mo,https://snyk.io/plans/,N/A / partner ecosystem,Pricing
Auth0,https://auth0.com,Authentication and identity platform for applications.,Free; paid from ~$35/mo,https://auth0.com/pricing,N/A / partner ecosystem,Pricing
Bitwarden,https://bitwarden.com,Open-source password manager with personal and team plans.,Free; Premium from ~$10/year,https://bitwarden.com/pricing/,https://bitwarden.com/partners/,Partner ecosystem
LastPass,https://www.lastpass.com,Password manager for individuals and teams.,Free; Premium from ~$3/mo,https://www.lastpass.com/pricing,N/A / public affiliate program not confirmed,Pricing
Okta,https://www.okta.com,Identity and access management for workforce and customer apps.,Quote-based; small-business plans vary,https://www.okta.com/pricing/,https://www.okta.com/partners/,Partner ecosystem
NordPass,https://nordpass.com,Password manager with business and personal plans.,From ~$3.59/mo,https://nordpass.com/pricing/,https://nordpass.com/affiliates/,Public affiliate program
Duo Security,https://duo.com,Multi-factor authentication and access security from Cisco.,Quote-based,https://duo.com/pricing,N/A / partner ecosystem,Pricing
