Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
LegalZoom,https://www.legalzoom.com,"Business formation, legal docs, trademarks, and attorney plans.",From ~$39/mo for legal plans,https://www.legalzoom.com/plan-pricing.html,https://www.legalzoom.com/affiliates,Public affiliate program
Rocket Lawyer,https://www.rocketlawyer.com,Legal documents and attorney access for small businesses.,From ~$39.99/mo,https://www.rocketlawyer.com/plans,https://www.rocketlawyer.com/affiliates,Public affiliate program
Termly,https://termly.io,Website policy generator and compliance tooling for privacy/cookie docs.,Free; Pro from ~$10/mo,https://termly.io/products/pricing/,https://termly.io/affiliate/,Public affiliate program
iubenda,https://www.iubenda.com,"Privacy policy, cookie, and consent management platform.",Free; Pro from ~$4.99/mo,https://www.iubenda.com/en/pricing,https://www.iubenda.com/affiliate-program,Public affiliate program
LawDepot,https://www.lawdepot.com,"Document builder for legal forms, business docs, and contracts.",From ~$7.50/mo,https://www.lawdepot.com/subscriptions/,N/A / public affiliate page not confirmed,Pricing
PandaDoc,https://www.pandadoc.com,Document and contract workflow platform with e-signature.,From ~$19/mo,https://www.pandadoc.com/pricing/,https://www.pandadoc.com/partners/,Partner/affiliate ecosystem
DocuSign,https://www.docusign.com,Electronic signatures and agreement workflows for businesses.,From ~$10/mo,https://www.docusign.com/products-and-pricing,https://www.docusign.com/partners,Partner ecosystem
SignNow,https://www.signnow.com,Budget-friendly e-signature and document workflow tool.,From ~$8/mo,https://www.signnow.com/pricing,https://www.signnow.com/partners,Partner ecosystem
Bizee (Incfile),https://www.bizee.com,Business formation and registered agent services for startups.,Free formation; paid compliance/agent plans,https://www.bizee.com/pricing/,https://www.bizee.com/affiliate,Public affiliate program
ZenBusiness,https://www.zenbusiness.com,"Business formation, compliance, and registered agent services.",Free formation; paid plans from ~$0 + add-ons,https://www.zenbusiness.com/pricing/,https://www.zenbusiness.com/affiliates/,Public affiliate program
