Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Crisp,https://crisp.chat,"Shared inbox, chat, knowledge base, and CRM for support teams.",Free; Pro from ~$25/mo,https://crisp.chat/en/pricing/,https://crisp.chat/en/partners/affiliate/,Public affiliate program
Help Scout,https://www.helpscout.com,"Customer support inbox, docs, and chat for small teams.",Free; Standard from ~$20/mo,https://www.helpscout.com/pricing/,https://www.helpscout.com/partners/,Partner ecosystem
Zendesk,https://www.zendesk.com,Enterprise-grade help desk and support workflows.,From ~$55/agent/mo,https://www.zendesk.com/pricing/,https://www.zendesk.com/partners/,Partner ecosystem
Intercom,https://www.intercom.com,Customer support and conversational product engagement platform.,From ~$29/seat/mo,https://www.intercom.com/pricing,https://www.intercom.com/partners,Partner ecosystem
Freshdesk,https://freshdesk.com,"Support desk with ticketing, automation, and self-service.",Free; Growth from ~$15/agent/mo,https://www.freshworks.com/freshdesk/pricing/,https://www.freshworks.com/partners/,Partner ecosystem
Tidio,https://www.tidio.com,"Live chat, chatbot, and support automation for websites.",Free; Starter from ~$29/mo,https://www.tidio.com/pricing/,https://www.tidio.com/affiliate/,Public affiliate program
Chatwoot,https://www.chatwoot.com,Open-source customer support platform with multi-channel inbox.,Free self-hosted; cloud paid tiers,https://www.chatwoot.com/pricing,N/A / open-source; no public affiliate program,Free/open-source option
Gorgias,https://www.gorgias.com,Help desk built for ecommerce support teams.,From ~$10/mo,https://www.gorgias.com/pricing,N/A / partner ecosystem,Pricing
Userback,https://www.userback.io,Customer feedback and bug reporting for product teams.,From ~$59/mo,https://www.userback.io/pricing/,https://www.userback.io/partners/,Partner ecosystem
Canny,https://canny.io,"Feature request, feedback, and changelog management.",From ~$79/mo,https://canny.io/pricing,https://canny.io/partners/,Partner ecosystem
