Company,Company URL,One-sentence description,Starter price,Pricing source URL,Affiliate / referral URL,Affiliate note
Notion,https://www.notion.com,"Flexible workspace for docs, planning, and lightweight content operations.",Free; Plus from ~$10/user/mo,https://www.notion.com/pricing,N/A / public referral program not confirmed,Pricing
Grammarly,https://www.grammarly.com,"Writing assistant for grammar, clarity, and brand tone.",Free; Pro from ~$12/mo,https://www.grammarly.com/plans,https://www.grammarly.com/affiliate,Public affiliate program
Descript,https://www.descript.com,Text-based audio/video editing tool for creators and teams.,Free; Hobbyist from ~$16/mo,https://www.descript.com/pricing,https://www.descript.com/affiliates,Public affiliate program
Jasper,https://www.jasper.ai,AI content generation platform for marketing teams and founders.,From ~$39/mo,https://www.jasper.ai/pricing,https://www.jasper.ai/affiliates,Public affiliate program
Copy.ai,https://www.copy.ai,AI writing and go-to-market content workflow platform.,Free; paid from ~$49/mo,https://www.copy.ai/pricing,https://www.copy.ai/affiliate,Public affiliate program
Beehiiv,https://www.beehiiv.com,Newsletter and content platform built for growth and monetization.,Free; paid from ~$42/mo,https://www.beehiiv.com/pricing,https://www.beehiiv.com/partners,Public partner/affiliate style program
Perplexity,https://www.perplexity.ai,AI search and research engine useful for content research workflows.,Free; Pro from ~$20/mo,https://www.perplexity.ai/pro,N/A / referral program not confirmed,Pricing
Writer,https://writer.com,Enterprise AI writing platform for branded content and workflows.,From ~$18/user/mo,https://writer.com/pricing,N/A / public affiliate program not confirmed,Pricing
ChatGPT,https://chatgpt.com,"General-purpose AI assistant for drafting, brainstorming, and content workflows.",Free; Plus $20/mo,https://openai.com/chatgpt/pricing/,N/A / not an affiliate product,Pricing
Canva,https://www.canva.com,"Also strong for content graphics, repurposing, and social templates.",Free; Pro from ~$15/mo,https://www.canva.com/pricing/,N/A / creator referral programs vary,Duped from Branding intentionally for content creators
